DEPTH_WMSF (m),HSGR (gAPI),HCGR (gAPI),HFK (%),HTHO (ppm),HURA (ppm),HBHK (%),IDPH (ohmm),IMPH (ohmm),SFLU (ohmm),RHOM (g/cm3),DRH (g/cm3),PEFL (barns/e-),NRHB (g/cm3),APLC (%),STOF (in),SIGF (cu),AFEC (cps),ANEC (cps),IMAGE_ID,ROCK_CLASS
138.994,18.9902,7.6732,0.2244,1.1466,1.4487,-0.0916,1.0203,1.0285,0.9874,2.0455,-0.0325,4.2226,2.0455,41.7382,0.3343,20.3793,555.2491,2693.9604,2238_1194B,Packstone
139.1464,18.8678,7.4167,0.2256,1.0575,1.4587,-0.0916,1.0244,1.0242,0.9608,2.0402,-0.0353,4.1168,2.0402,41.8555,0.387,20.1319,528.8123,2645.656,2244_1194B,Packstone
139.2988,18.8507,7.035,0.2227,0.9521,1.5131,-0.0916,1.0331,1.0299,0.9817,2.0442,-0.0346,4.2568,2.0442,43.0394,0.5164,19.3889,537.2656,2654.2095,2250_1194B,Packstone
139.4512,18.9285,7.2449,0.237,0.9356,1.5075,-0.0916,1.0441,1.0468,1.0265,2.0475,-0.0335,4.3949,2.0475,48.2013,0.3796,20.816,510.3265,2635.6123,2256_1194B,Packstone
139.6036,18.4402,6.9872,0.2488,0.7839,1.4901,-0.0916,1.0482,1.0713,1.0344,2.0447,-0.0347,4.6029,2.0447,49.4008,0.6374,20.8933,513,2636.5,2262_1194B,Packstone
148.4428,25.7585,5.5522,0.1402,0.9599,2.4972,-0.0916,0.9534,0.977,0.9013,1.9848,-0.0105,4.4759,1.9279,44.505,1.0836,20.9572,497.232,2585.4329,2610_1194B,Packstone
148.5952,25.1961,5.0313,0.1095,0.9727,2.4795,-0.0916,0.9566,0.9825,0.9032,1.9814,-0.018,4.4922,1.968,51.8328,0.9727,21.3728,504.2988,2665.2429,2616_1194B,Packstone
148.7476,25.5668,4.7452,0.1041,0.9122,2.5132,-0.0916,0.9596,0.9858,0.9085,1.9793,-0.0262,4.6883,1.9793,54.4727,0.9295,21.8193,496.3669,2570.8569,2622_1194B,Packstone
148.9,25.8271,4.4477,0.1046,0.814,2.5849,-0.0916,0.961,0.9866,0.9095,1.9674,-0.0398,4.8125,1.9674,50.5153,0.9854,21.1114,491.0773,2601.7668,2628_1194B,Packstone
149.0524,27.2813,5.261,0.1363,0.8893,2.6736,-0.0916,0.9607,0.9851,0.9072,1.9611,-0.0458,4.8018,1.9611,46.4649,1.0042,21.1784,522.9305,2614.8213,2634_1194B,Packstone
149.2048,26.6476,5.59,0.14,0.9732,2.5646,-0.0916,0.9591,0.9819,0.9022,1.9623,-0.0444,4.8203,1.9623,46.3233,0.8777,21.1705,523.3935,2590.2539,2640_1194B,Packstone
149.3572,26.5675,6.121,0.1706,0.9644,2.5098,-0.0916,0.956,0.9776,0.897,1.9604,-0.0417,4.7839,1.9604,48.2024,0.9808,21.1024,498.3665,2629.8259,2646_1194B,Packstone
149.5096,25.8838,6.0225,0.1711,0.9297,2.4364,-0.0916,0.9528,0.9721,0.8869,1.958,-0.0332,4.7556,1.958,52.9436,0.949,21.3729,501.0984,2658.0217,2652_1194B,Packstone
149.662,27.0099,5.8957,0.1745,0.8693,2.5937,-0.0916,0.9492,0.9657,0.8675,1.9533,-0.0221,4.6229,1.9468,55.8984,0.8284,22.1392,523.2383,2669.7883,2658_1194B,Packstone
149.8144,27.9317,6.0203,0.1837,0.8556,2.6915,-0.0916,0.9428,0.959,0.8492,1.9467,-0.0138,4.5401,1.9161,54.5389,0.8341,22.0461,519.1428,2648.1904,2664_1194B,Packstone
149.9668,27.714,6.0932,0.1837,0.8785,2.6438,-0.0916,0.9359,0.9524,0.8394,1.9398,-0.0061,4.4514,1.9102,50.6445,0.8066,22.156,500.9699,2609.5674,2670_1194B,Packstone
150.1192,25.7775,5.6688,0.172,0.8108,2.4642,-0.0916,0.9314,0.9458,0.832,1.9319,0.0018,4.395,1.9282,50.5691,0.5397,22.7576,497.3766,2621.8994,2676_1194B,Packstone
158.044,24.0466,5.7372,0.1725,0.8296,2.2418,-0.0916,0.868,0.8919,0.8087,1.9195,-0.028,4.2685,1.9195,57.2532,0.2253,21.8906,504.8633,2643.2788,2988_1194B,Packstone
158.1964,23.4193,5.723,0.193,0.7051,2.1712,-0.0916,0.8673,0.8885,0.8062,1.9179,-0.0279,4.3268,1.9179,56.6143,0.2223,22.3571,517.7834,2642.7708,2994_1194B,Packstone
158.3488,23.1259,5.9784,0.2058,0.712,2.1276,-0.0916,0.8643,0.8861,0.808,1.914,-0.0223,4.2585,1.9679,56.3269,0.3001,22.8226,523.6473,2621.7632,3000_1194B,Packstone
158.5012,22.6797,5.936,0.2105,0.6712,2.0851,-0.0916,0.8601,0.8848,0.8111,1.9011,-0.0118,4.0098,1.9793,56.2479,0.2531,23.4262,489.7378,2621.4463,3006_1194B,Packstone
158.6536,22.5028,6.103,0.2149,0.6984,2.0282,-0.0916,0.858,0.8838,0.8119,1.8779,-0.0002,3.7927,1.903,56.5782,0.2125,23.572,508.1943,2640.5513,3012_1194B,Packstone
158.806,22.2101,6.183,0.2212,0.6875,2.0067,-0.0916,0.8578,0.8822,0.8061,1.866,0.0209,3.7304,1.866,58.1687,0.2943,23.1316,509.6185,2621.5781,3018_1194B,Packstone
158.9584,22.1098,6.6764,0.2162,0.8745,1.9628,-0.0916,0.8595,0.8798,0.8013,1.8678,0.0465,3.7478,1.8678,60.5868,0.1944,22.9992,508.7232,2665.8193,3024_1194B,Packstone
159.1108,22.4038,7.2525,0.2222,1.0241,1.913,-0.0916,0.862,0.8774,0.8007,1.8739,0.0647,3.78,1.8739,61.2321,-999.25,23.0986,494.9964,2684.4504,3030_1194B,Packstone
159.2632,22.4952,7.6818,0.2343,1.091,1.8561,-0.0916,0.8636,0.8768,0.8186,1.8744,0.0684,3.8008,1.8744,60.7653,-999.25,22.9993,500.3468,2667.0557,3036_1194B,Packstone
159.4156,22.0999,7.8103,0.2265,1.1776,1.8035,-0.0916,0.867,0.8794,0.845,1.8729,0.0635,3.8323,1.8729,59.2688,-999.25,23.1657,504.7544,2670.4016,3042_1194B,Packstone
167.6452,24.0318,4.9264,0.1076,0.9496,2.4001,-0.0916,1.0989,1.1194,0.9804,1.9698,0.0391,4.0128,1.9698,45.8202,1.0597,21.2944,508.2119,2602.0645,3366_1194B,Packstone
167.7976,23.2055,3.7289,0.1026,0.5953,2.4523,-0.0916,1.0883,1.1125,0.9798,1.975,0.0212,4.0502,1.975,43.252,1.0083,20.7973,509.073,2651.7417,3372_1194B,Packstone
167.95,22.4448,4.0067,0.1135,0.6206,2.3252,-0.0916,1.0793,1.1056,0.9832,1.9797,0.0089,4.0276,1.9796,47.6905,0.6323,21.3927,548.9952,2688.6929,3378_1194B,Packstone
168.1024,22.7649,4.3643,0.1202,0.6956,2.3353,-0.0916,1.0682,1.0978,0.9835,1.9835,0.0004,4.0265,1.9803,50.1842,0.3347,21.6073,526.9976,2647.5571,3384_1194B,Packstone
168.2548,23.0154,4.9783,0.124,0.8704,2.281,-0.0916,1.0569,1.0891,0.9806,1.9844,-0.008,4.0861,1.9847,49.893,0.3213,21.2572,537.2324,2666.4517,3390_1194B,Packstone
168.4072,24.0139,5.0393,0.1298,0.8561,2.3754,-0.0916,1.0489,1.0798,0.9765,1.9847,-0.0136,4.1769,2.0291,48.4592,0.3269,20.7929,508.5167,2727.5417,3396_1194B,Packstone
168.5596,24.0153,5.4133,0.1337,0.9528,2.3224,-0.0916,1.041,1.0706,0.9725,1.9816,-0.0183,4.188,1.9956,48.4701,-999.25,20.2827,522.7487,2751.2427,3402_1194B,Packstone
168.712,24.5314,5.8067,0.1651,0.8952,2.3099,-0.0916,1.0275,1.0608,0.9691,1.9746,-0.0188,4.161,1.9901,50.1447,-999.25,19.8486,534.2795,2712.7725,3408_1194B,Packstone
168.8644,24.5362,5.1916,0.1504,0.784,2.3813,-0.0916,1.0129,1.0494,0.9591,1.9677,-0.0146,4.0811,2.02,48.6374,0.0309,19.715,546.002,2680.3501,3414_1194B,Packstone
169.0168,25.3739,5.2455,0.1469,0.822,2.4831,-0.0916,1.0053,1.0357,0.9376,1.9597,-0.0115,4.088,1.9337,47.4753,0.0493,19.5545,551.3972,2767.0798,3420_1194B,Packstone
169.1692,26.8419,6.1674,0.1793,0.9281,2.5698,-0.0916,1.002,1.0211,0.918,1.9638,-0.0067,4.1831,1.9093,46.8058,0.0549,19.464,534.7222,2718.574,3426_1194B,Packstone
169.3216,28.874,6.9516,0.2099,1.0005,2.7646,-0.0916,0.9987,1.0085,0.9115,1.9726,0,4.3118,1.9704,47.3757,0.0959,19.7856,531.5018,2706.8176,3432_1194B,Packstone
169.474,30.5643,7.0332,0.2101,1.0251,2.9821,-0.0916,0.999,1.0009,0.9082,1.9689,0.0012,4.3207,1.9867,48.2134,0.1514,20.0725,530.2003,2711.3708,3438_1194B,Packstone
169.6264,33.3633,7.3838,0.2219,1.0689,3.3028,-0.0916,1.002,1.0011,0.9058,1.9584,-0.0047,4.2695,1.9247,48.6702,0.1326,20.0588,518.3168,2680.2783,3444_1194B,Packstone
169.7788,35.8433,7.1258,0.2112,1.0487,3.6358,-0.0916,1.0054,1.0099,0.9275,1.9586,-0.0094,4.3021,1.8977,47.8836,0.1601,20.2107,554.0096,2698.8176,3450_1194B,Packstone
169.9312,37.2358,6.69,0.2186,0.8657,3.8441,-0.0777,1.012,1.0249,0.9602,1.9791,-0.0082,4.4242,2.0153,45.4886,0.3306,19.8641,522.6535,2708.3433,3456_1194B,Packstone
177.2464,22.4208,8.3754,0.178,1.6441,1.7486,0.0042,1.0308,1.0342,0.8869,1.9555,0.0363,4.0794,1.9555,48.642,0.2217,19.8704,532.991,2702.7324,3744_1194B,Packstone
177.3988,22.6367,8.6933,0.2021,1.6052,1.7386,0.0042,1.0382,1.0323,0.8835,1.9581,0.0354,3.9947,1.9581,48.8118,0.1282,19.9393,526.9634,2676.3853,3750_1194B,Packstone
177.5512,23.063,8.7583,0.1962,1.6602,1.7984,0.0042,1.0398,1.0381,0.9295,1.9766,0.0409,4.0798,1.9766,47.9899,0.2649,20.1025,525.7778,2700.8889,3756_1194B,Packstone
186.8476,23.8007,10.0577,0.3298,1.2947,1.7345,0.0042,1.0678,1.0887,0.9674,1.9381,0.0092,3.9854,1.9381,54.6455,0.1243,23.9683,511.1111,2623.5557,4122_1194B,Packstone
187,24.2918,10.0265,0.3303,1.2821,1.8039,0.0042,1.068,1.087,0.9533,1.9339,0.01,3.9081,1.9339,56.1133,0.0875,23.7798,509.7778,2634.6667,4128_1194B,Packstone
187.1524,24.3011,10.1763,0.3399,1.2735,1.7499,0.0042,1.0681,1.0831,0.9441,1.9329,0.009,3.9035,1.9329,53.8229,0.3382,23.7337,506.2222,2672,4134_1194B,Packstone
187.3048,23.7594,9.9762,0.3359,1.2329,1.7025,0.0042,1.0676,1.079,0.9406,1.9289,0.0092,3.7693,1.9289,55.2181,0.3551,24.2141,508,2711.1111,4140_1194B,Packstone
187.4572,23.2125,9.6281,0.3353,1.1249,1.6574,0.0042,1.0651,1.0757,0.9408,1.9322,0.0114,3.7045,1.9322,52.4052,0.7134,24.1934,475,2644,4146_1194B,Packstone
187.6096,22.4924,9.604,0.3221,1.1947,1.604,0.0042,1.0603,1.0737,0.94,1.9337,0.0117,3.6578,1.9337,51.6159,0.7889,24.1041,486.9512,2624.8879,4152_1194B,Packstone
187.762,22.398,9.5562,0.3151,1.2202,1.6208,0.0042,1.0569,1.072,0.9361,1.9342,0.0113,3.6961,1.9342,49.3073,0.7926,23.962,503.6489,2599.1316,4158_1194B,Packstone
187.9144,22.5202,9.8975,0.3304,1.24,1.6066,0.0042,1.0528,1.0694,0.9322,1.9324,0.0121,3.7497,1.9324,48.7245,0.6993,23.5714,503.8533,2627.0691,4164_1194B,Packstone
188.0668,22.3894,10.0175,0.3301,1.2801,1.584,0.0042,1.0472,1.065,0.9284,1.9291,0.012,3.7551,1.9291,49.091,0.6217,22.8989,487.4619,2623.1975,4170_1194B,Packstone
188.2192,21.9547,9.7431,0.3278,1.206,1.5509,0.0042,1.0413,1.0583,0.9254,1.9277,0.012,3.757,1.9277,48.8412,0.7299,21.6223,492.3893,2641.9626,4176_1194B,Packstone
188.3716,21.4096,9.184,0.3223,1.0589,1.5329,0.0042,1.0367,1.0497,0.9212,1.93,0.0136,3.7813,1.93,48.8248,0.8124,20.7701,517.4799,2655.9553,4182_1194B,Packstone
188.524,20.7996,8.5428,0.294,1.0185,1.5421,0.0042,1.0325,1.0402,0.9133,1.9332,0.0164,3.8162,1.9332,50.3745,0.6409,21.2055,516.3987,2602.238,4188_1194B,Packstone
188.6764,20.1573,8.3145,0.2753,1.0549,1.5026,0.0042,1.0274,1.0315,0.9052,1.9348,0.0191,3.8919,1.9348,51.3395,0.6096,21.0816,480.284,2627.5068,4194_1194B,Packstone
188.8288,21.2141,9.1336,0.2868,1.2506,1.5648,0.0042,1.0236,1.025,0.9034,1.9379,0.0231,3.8927,1.9379,51.4197,0.4257,21.8019,479,2612.8889,4200_1194B,Packstone
188.9812,19.9119,8.9747,0.2674,1.3133,1.4231,0.0042,1.0212,1.022,0.8913,1.9411,0.0259,3.8368,1.9411,54.284,0.3644,22.7732,502.8349,2609.7148,4206_1194B,Packstone
189.1336,20.5387,8.933,0.2705,1.2814,1.5028,0.0042,1.019,1.0235,0.8893,1.9412,0.023,3.7318,1.9412,54.7076,0.2355,23.3323,485.213,2610.5989,4212_1194B,Packstone
189.286,20.8792,8.7987,0.2658,1.2662,1.5761,0.0042,1.0172,1.028,0.8966,1.9434,0.0208,3.6646,1.9434,54.9688,0.156,24.1126,497.3309,2646.2959,4218_1194B,Packstone
189.4384,22.7677,9.1102,0.2754,1.3097,1.7915,0.0042,1.0161,1.0326,0.9064,1.943,0.0193,3.7504,1.943,54.9205,0.1408,23.9901,509.6125,2666.1072,4224_1194B,Packstone
189.5908,23.6013,8.8231,0.2598,1.3089,1.9375,0.0042,1.0154,1.0352,0.9116,1.9386,0.0168,3.8914,1.9386,53.4795,0.2369,23.4998,469.5714,2660.2698,4230_1194B,Packstone
189.7432,23.9373,8.805,0.2623,1.2885,1.9324,0.0042,1.0144,1.0348,0.9112,1.9365,0.0146,3.9453,1.9365,52.8414,0.2339,23.4311,484.1281,2587.6033,4236_1194B,Packstone
189.8956,21.8857,7.8597,0.2329,1.1576,1.8031,0.0042,1.0113,1.0314,0.9093,1.9378,0.0144,3.8913,1.9378,52.9252,0.4691,22.949,511.1111,2628.4443,4242_1194B,Packstone
190.048,21.139,7.8275,0.2393,1.1094,1.7388,0.0042,1.007,1.0254,0.8968,1.9314,0.0123,3.828,1.9314,53.8621,0.5302,22.8663,495.4252,2625.3005,4248_1194B,Packstone
190.2004,20.588,7.228,0.2257,0.9968,1.7926,0.0042,0.9997,1.0183,0.888,1.9272,0.0115,3.7889,1.9272,51.5683,0.7926,21.979,505.4036,2627.8713,4254_1194B,Packstone
190.3528,20.9699,6.6214,0.2213,0.8278,1.9059,0.0042,0.9928,1.0112,0.8886,1.9308,0.0135,3.8053,1.9308,51.4484,0.3474,22.9667,513.4001,2643.0969,4260_1194B,Packstone
190.5052,20.3553,6.3222,0.2122,0.7854,1.8547,0.0042,0.9848,1.0041,0.8973,1.9399,0.0188,3.8554,1.9399,49.2977,0.3718,22.2451,519.4874,2700.7437,4266_1194B,Packstone
190.6576,19.8895,6.2091,0.2003,0.819,1.8084,0.0042,0.9717,0.996,0.8917,1.9462,0.0233,3.8925,1.9462,49.0728,0.3436,21.6908,509.6588,2659.5881,4272_1194B,Packstone
190.81,19.7162,6.1684,0.2012,0.8003,1.7606,0.0042,0.9651,0.9864,0.8778,1.9439,0.0224,3.8485,1.9439,50.6018,0.2067,21.7429,519.0401,2676.8044,4278_1194B,Packstone
190.9624,20.139,6.765,0.2171,0.8989,1.7265,0.0042,0.9638,0.9761,0.8535,1.9431,0.026,3.8789,1.9431,49.0953,0.3756,21.1225,498.6667,2588.8889,4284_1194B,Packstone
191.1148,19.2263,6.2216,0.1853,0.9109,1.7264,0.0042,0.9678,0.9696,0.8363,1.9248,0.0227,3.8972,1.9248,50.9296,0.2599,21.0014,492.4445,2684,4290_1194B,Packstone
191.2672,20.2708,7.0474,0.2186,0.9807,1.7713,0.0042,0.9806,0.9707,0.8283,1.9006,0.0182,3.8761,1.9006,52.6417,0.0015,21.8863,538.6667,2736.5,4296_1194B,Packstone
191.4196,21.5188,7.3061,0.2249,1.0265,1.9174,0.0042,0.9906,0.9837,0.8151,1.8892,0.01,3.7593,1.8892,51.9628,-999.25,20.7639,526.6667,2691.5557,4302_1194B,Packstone
191.572,22.0885,7.6079,0.2304,1.0909,1.9092,0.0042,0.9873,1.0072,0.8926,1.9136,0.0041,3.7697,1.9136,45.7667,0.0506,20.7669,544.5,2655,4308_1194B,Packstone
196.4488,23.3828,9.7339,0.2833,1.4637,1.7411,0.0042,1.0319,1.0125,0.8561,1.9106,0.0086,3.8625,1.9106,52.4037,0.7022,21.5007,502.5,2604.4443,4500_1194B,Packstone
196.6012,22.4427,10.3848,0.2792,1.6967,1.5598,0.0042,1.0237,1.0232,0.9499,1.9422,0.0106,3.9444,1.9422,53.827,0.3145,21.7592,482.6667,2555.1111,4506_1194B,Packstone
