DEPTH_WMSF (m),HALC (%),HSIG (cu),HSTO (in),HNEC (cps),HFEC (cps),HROM (g/cm3),HLEF (barns/e-),HBDC (g/cm3),HDEB (g/cm3),IMAGE_ID,ROCK_CLASS
111.8668,48.1343,23.2089,0.9768,2554,436,1.8418,4.037,0.0042,1.8315,496.062_497.332_12,Packstone
111.9176,54.0888,23.2734,0.9644,2456,480,1.8512,4.0227,0.0066,1.8376,496.062_497.332_14,Packstone
111.9684,53.0416,24.5193,0.9997,2633.3333,504,1.8308,4.2174,0.005,1.8303,496.062_497.332_16,Packstone
112.0192,52.9858,25.1223,0.9445,2540,476,1.8125,4.4195,0.0044,1.8192,496.062_497.332_18,Packstone
112.07,58.8326,25.4438,0.9127,2562,450,1.8095,4.2161,0.0067,1.8108,496.062_497.332_20,Packstone
112.1208,60.9391,25.4929,0.8381,2541.3333,486,1.805,4.2278,0.0107,1.8094,496.062_497.332_22,Packstone
112.1716,60.3907,25.1267,0.8769,2460,484,1.8086,4.0952,0.019,1.81,496.062_497.332_24,Packstone
112.2224,64.3215,25.8084,0.5116,2629.3333,446,1.8111,3.924,0.0257,1.8095,496.062_497.332_26,Packstone
112.2732,62.4924,25.7103,0.4427,2760,478,1.8047,3.742,0.0335,1.8107,496.062_497.332_28,Packstone
112.324,61.7937,25.3088,0.708,2460,508,1.8071,3.9416,0.0391,1.8105,496.062_497.332_30,Packstone
112.3748,64.768,23.7392,0.751,2624,512,1.8129,4.0143,0.0438,1.8072,496.062_497.332_32,Packstone
112.4256,65.9874,23.5765,0.6961,2553.3333,462.6667,1.7994,4.0267,0.0335,1.8028,496.062_497.332_34,Packstone
112.4764,62.2659,25.4395,0.4546,2564,420,1.7926,3.7107,0.0257,1.7962,496.062_497.332_36,Packstone
112.5272,62.6249,25.1119,0.7971,2538,514.6667,1.7925,4.1601,0.023,1.7957,496.062_497.332_38,Packstone
112.578,59.8814,26.1411,0.8891,2620,466,1.8006,3.9359,0.0201,1.7974,496.062_497.332_40,Packstone
112.6288,60.123,27.1377,0.7203,2480,450.6667,1.8043,3.7463,0.0151,1.7979,496.062_497.332_42,Packstone
112.6796,59.3022,26.7098,0.7252,2520,460,1.7956,3.727,0.0089,1.7951,496.062_497.332_44,Packstone
112.7304,60.5294,27.7061,0.7194,2486.6667,442,1.788,3.9533,0.0053,1.7898,496.062_497.332_46,Packstone
112.7812,61.4401,28.3396,0.815,2578,473.3333,1.7857,4.137,0.0075,1.7898,496.062_497.332_48,Packstone
112.832,65.4416,28.5433,0.7252,2520,518,1.7918,4.2455,0.0104,1.7921,497.332_498.602_0,Wackestone
112.8828,67.3334,29.1331,0.4806,2561.3333,434,1.8022,4.1741,0.0108,1.792,497.332_498.602_2,Wackestone
112.9336,66.8872,29.4326,0.3147,2434,464,1.7882,3.9592,0.0089,1.7868,497.332_498.602_4,Wackestone
112.9844,65.17,28.4528,0.7259,2586,456,1.7752,3.7708,0.0086,1.774,497.332_498.602_6,Wackestone
113.0352,63.3933,29.484,0.7163,2580,480,1.7584,3.8556,0.0078,1.7639,497.332_498.602_8,Wackestone
113.086,63.1356,29.9764,0.2398,2521.3333,450.6667,1.7589,3.9836,0.0096,1.7563,497.332_498.602_10,Wackestone
113.1368,62.1508,29.26,0.2749,2558,458,1.756,3.8359,0.0098,1.7503,497.332_498.602_12,Packstone
113.1876,62.5315,29.2333,0.0127,2524,448,1.7422,3.7968,0.0084,1.7466,497.332_498.602_14,Packstone
113.2384,60.0903,29.5815,0.1306,2474,448,1.7416,3.6816,0.0096,1.7432,497.332_498.602_16,Packstone
113.2892,62.432,28.5686,0.1694,2533.3333,456,1.7453,3.8503,0.0102,1.744,497.332_498.602_18,Packstone
113.34,62.105,27.7015,0.2498,2572,456,1.7441,3.4799,0.0104,1.7451,497.332_498.602_20,Packstone
113.3908,66.0135,25.9195,-999.25,2542,452,1.7491,3.6853,0.0129,1.7418,497.332_498.602_22,Packstone
113.4416,65.6692,27.0028,-999.25,2562.6667,416,1.7306,4.1421,0.0079,1.7428,497.332_498.602_24,Packstone
113.4924,69.482,27.1623,-999.25,2512,469.3333,1.7439,3.8219,0.011,1.7401,497.332_498.602_26,Packstone
113.5432,67.0151,26.9791,-999.25,2581.3333,460,1.7402,3.8105,0.0096,1.7398,497.332_498.602_28,Packstone
113.594,68.1229,26.0149,0.1475,2674,440,1.734,3.721,0.0089,1.7383,497.332_498.602_30,Packstone
113.6448,67.4107,26.8449,0.0097,2574,470.6667,1.7365,3.8469,0.0092,1.7349,497.332_498.602_32,Packstone
113.6956,66.9744,26.9942,0.5485,2596,482,1.7361,3.9142,0.0091,1.7319,497.332_498.602_34,Packstone
113.7464,64.1579,27.0957,0.6821,2518,425.3333,1.7271,3.8794,0.0067,1.7304,497.332_498.602_36,Packstone
113.7972,65.8224,27.8058,0.2255,2500,488,1.7296,3.84,0.0072,1.7265,497.332_498.602_38,Packstone
113.848,65.1186,27.1273,0.01,2472,446,1.7246,3.7442,0.0067,1.7262,497.332_498.602_40,Packstone
113.8988,63.4229,26.6084,0.4793,2572,462.6667,1.7262,3.4789,0.0082,1.7249,497.332_498.602_42,Packstone
113.9496,66.6589,27.7198,0.085,2522.6667,466,1.7271,3.6834,0.0085,1.7225,497.332_498.602_44,Packstone
114.0004,71.6441,27.415,0.243,2550,465.3333,1.7181,4.0133,0.0062,1.7215,497.332_498.602_46,Packstone
114.0512,68.6274,26.926,0.2499,2502.6667,456,1.7166,3.8687,0.0068,1.7189,497.332_498.602_48,Packstone
114.102,66.0199,25.9955,0.6986,2520,452,1.72,3.7709,0.0083,1.7172,498.602_499.872_0,Packstone
114.1528,65.9754,26.3249,0.725,2513.3333,477.3333,1.7115,3.5782,0.0083,1.7199,498.602_499.872_2,Packstone
114.2036,66.6667,26.657,0.6878,2474,480,1.7243,3.6411,0.01,1.7257,498.602_499.872_4,Packstone
114.2544,64.0505,26.8518,0.7722,2496,460,1.7407,3.5898,0.0115,1.7329,498.602_499.872_6,Packstone
114.3052,63.648,25.4691,0.7875,2536,434,1.7427,3.503,0.0108,1.7372,498.602_499.872_8,Packstone
114.356,66.3807,25.1668,0.6871,2554,461.3333,1.7342,3.656,0.0072,1.7378,498.602_499.872_10,Packstone
114.4068,68.5525,26.1246,0.5949,2509.3333,444,1.7377,3.9001,0.0062,1.736,498.602_499.872_12,Packstone
114.4576,68.4454,26.7675,0.6181,2458,476,1.7377,3.7525,0.0035,1.7346,498.602_499.872_14,Packstone
114.5084,68.4917,26.6939,0.5935,2642,441.3333,1.7318,3.8533,0.0003,1.7353,498.602_499.872_16,Packstone
114.5592,68.7477,28.1829,0.4307,2581.3333,474,1.7333,3.8212,0.0011,1.7397,498.602_499.872_18,Packstone
114.61,69.5504,27.6788,0.554,2596,413.3333,1.749,3.8342,0.0028,1.7469,498.602_499.872_20,Packstone
114.6608,74.6924,27.4269,0.2405,2574.6667,438,1.7581,3.6453,0.0056,1.7532,498.602_499.872_22,Packstone
114.7116,73.6184,26.6321,0.3243,2596,416,1.754,3.7799,0.005,1.7571,498.602_499.872_24,Packstone
114.7624,72.9224,26.3682,0.351,2529.3333,477.3333,1.7572,3.8549,0.006,1.7575,498.602_499.872_26,Packstone
114.8132,70.4971,25.6136,0.4815,2596,478,1.7632,3.9765,0.0061,1.757,498.602_499.872_28,Packstone
114.864,70.1892,24.9352,0.4962,2597.3333,465.3333,1.7548,3.9356,0.0058,1.7552,498.602_499.872_30,Packstone
114.9148,66.0711,23.3201,0.6986,2516,424,1.7513,4.0609,0.0052,1.7501,498.602_499.872_32,Packstone
114.9656,69.3648,24.8231,0.041,2493.3333,410.6667,1.743,3.9676,0.0062,1.7481,498.602_499.872_34,Packstone
115.0164,65.6034,25.1922,0.7129,2532,500,1.7463,3.9015,0.006,1.7468,498.602_499.872_36,Packstone
115.0672,67.2989,27.1411,0.3778,2562,477.3333,1.7495,3.9212,0.007,1.7484,498.602_499.872_38,Packstone
115.118,64.3926,26.738,0.3017,2541.3333,504,1.7476,3.8561,0.0093,1.7503,498.602_499.872_40,Packstone
115.1688,67.9429,25.5018,0.5603,2414,450.6667,1.7543,3.6275,0.0095,1.7505,498.602_499.872_42,Grainstone
115.2196,61.9459,24.8623,0.8401,2612,502,1.7473,3.6236,0.0065,1.758,498.602_499.872_44,Grainstone
115.2704,58.689,25.1877,0.5042,2504,526,1.7682,3.8,0.0092,1.7692,498.602_499.872_46,Grainstone
115.3212,52.8655,25.2408,0.126,2576,496,1.785,3.9915,0.011,1.8009,498.602_499.872_48,Packstone
115.372,47.1677,25.4447,-999.25,2540,576,1.8344,3.8843,0.0146,1.8551,499.872_501.142_0,Packstone
115.4228,40.3814,24.7054,0.0523,2598,600,1.9379,4.0411,0.044,1.9147,499.872_501.142_2,Packstone
119.6392,45.636,22.9173,0.4469,2628.7478,513.7999,1.8682,3.7571,-0.026,1.8664,503.682_504.952_18,Floatstone
119.69,45.6085,23.028,0.4266,2587.9946,491.1158,1.8687,3.4531,-0.0266,1.8719,503.682_504.952_20,Floatstone
119.7408,47.0495,23.2002,0.4591,2603.0989,486.9578,1.8709,3.5202,-0.0279,1.8788,503.682_504.952_22,Floatstone
119.7916,48.8291,23.3826,0.4397,2609.3376,506.4192,1.8916,4.0564,-0.0255,1.8943,503.682_504.952_24,Floatstone
119.8424,49.2509,23.3842,0.3248,2613.7725,525.118,1.9147,4.0082,-0.0203,1.9161,503.682_504.952_26,Floatstone
119.8932,51.3666,23.0667,0.3407,2661.0481,482.5064,1.9354,3.5271,-0.0168,1.9322,503.682_504.952_28,Floatstone
119.944,54.0847,22.7362,0.151,2766,502.6667,1.933,3.5653,-0.017,1.9458,503.682_504.952_30,Floatstone
119.9948,54.3614,22.8105,0.1391,2616.1541,550.0488,1.9471,3.5562,-0.014,1.9464,503.682_504.952_32,Floatstone
120.0456,52.8071,22.5429,0.18,2655.3455,549.7844,1.974,3.7599,-0.0116,1.942,503.682_504.952_34,Floatstone
120.0964,50.1314,23.125,0.2949,2678.2173,531.1246,1.9799,4.0147,-0.0124,1.9496,503.682_504.952_36,Floatstone
120.1472,46.8798,23.3146,0.3886,2663.582,515.6401,1.9815,3.792,-0.0136,1.9731,503.682_504.952_38,Floatstone
120.198,41.5086,22.749,0.5589,2670.0491,524.5011,1.9713,3.695,-0.0164,1.9852,503.682_504.952_40,Floatstone
120.2488,37.8047,22.2289,0.6811,2692.6738,545.1059,1.9651,4.1095,-0.0189,1.9937,503.682_504.952_42,Floatstone
120.2996,40.2653,22.3916,0.5458,2694.1243,543.6483,1.964,3.8924,-0.0221,1.9888,503.682_504.952_44,Floatstone
120.3504,42.8693,22.467,0.4193,2714.1155,521.4808,1.9695,3.7301,-0.0233,1.9728,503.682_504.952_46,Floatstone
120.4012,43.8177,21.0597,0.4621,2645.3333,522.6667,1.9721,3.9267,-0.0225,1.9784,503.682_504.952_48,Floatstone
120.452,44.4689,21.3374,0.4001,2712,542.6667,1.978,3.9884,-0.0182,1.9852,504.952_506.222_0,Floatstone
120.5028,49.6388,21.3455,0.3433,2698.6667,558,1.9816,4.2847,-0.0173,1.9834,504.952_506.222_2,Floatstone
129.342,49.5376,22.6746,0.4268,2632,532,2.0097,3.9398,-0.0181,2.0093,513.842_515.112_0,Packstone
129.3928,51.2473,23.1083,0.238,2596,494,2.0024,3.8677,-0.0209,2.0077,513.842_515.112_2,Packstone
129.4436,49.4823,23.3082,0.2182,2662,560,2.015,3.8606,-0.0197,2.0193,513.842_515.112_4,Packstone
129.4944,48.8255,22.4753,0.2695,2589.3333,558.6667,2.0255,3.7861,-0.0196,2.0287,513.842_515.112_6,Packstone
129.5452,47.6061,23.1688,0.2835,2690,532,2.03,3.5749,-0.0192,2.0297,513.842_515.112_8,Packstone
129.596,47.1494,23.1534,0.2096,2584,501.3333,2.03,3.7382,-0.021,2.0396,513.842_515.112_10,Packstone
129.6468,42.3141,21.7825,0.4304,2620,558,2.0463,3.8887,-0.0184,2.0399,513.842_515.112_12,Packstone
129.6976,42.083,21.9966,0.3072,2634.6667,540,2.0416,3.5451,-0.0174,2.0422,513.842_515.112_14,Packstone
129.7484,38.8104,21.2258,0.3694,2664,530,2.0154,3.619,-0.0189,2.0379,513.842_515.112_16,Packstone
129.7992,37.9855,19.8769,0.3734,2610.6667,556,2.0185,3.7351,-0.0171,2.029,513.842_515.112_18,Packstone
129.85,38.3073,20.2402,0.3012,2712,558,2.042,3.8617,-0.0088,2.027,513.842_515.112_20,Packstone
138.8416,42.3756,21.5595,0.2571,2733.8845,533.1794,2.056,4.779,-0.0326,2.0488,522.732_524.002_24,Packstone
138.8924,45.1195,20.6927,0.2665,2788,578,2.0409,4.4132,-0.0367,2.0452,522.732_524.002_26,Packstone
138.9432,43.697,19.5518,0.3897,2636.8572,599.1429,2.0444,4.1455,-0.0369,2.0433,522.732_524.002_28,Packstone
138.994,42.7919,19.0894,0.3809,2737.4285,546.5714,2.0488,4.1036,-0.0355,2.0431,522.732_524.002_30,Packstone
139.0448,43.0284,18.6877,0.3972,2662.8572,539.4286,2.0345,4.1536,-0.0361,2.042,522.732_524.002_32,Packstone
139.0956,38.7273,18.1958,0.6537,2684.9346,504.4134,2.036,4.0197,-0.0339,2.0351,522.732_524.002_34,Packstone
139.1464,39.1675,18.6098,0.5543,2658.5459,501.8755,2.025,3.8633,-0.0359,2.0354,522.732_524.002_36,Packstone
139.1972,39.7987,19.5878,0.5444,2620,566.2857,2.0385,4.1331,-0.0331,2.0407,522.732_524.002_38,Packstone
139.248,42.4979,20.932,0.3248,2616,502,2.0578,4.1358,-0.0271,2.0475,522.732_524.002_40,Packstone
139.2988,42.9795,20.7582,0.3831,2684.8572,552.5714,2.0496,4.3364,-0.0304,2.0496,522.732_524.002_42,Packstone
139.3496,44.5569,21.2945,0.4703,2668.8572,511.4286,2.0449,4.4105,-0.0352,2.0438,522.732_524.002_44,Packstone
139.4004,47.8854,21.2194,0.507,2617.1428,514.2857,2.0362,4.7314,-0.0397,2.0465,522.732_524.002_46,Packstone
139.4512,46.932,19.3013,0.8924,2650.6667,507.4286,2.0587,4.649,-0.0334,2.0502,522.732_524.002_48,Packstone
139.502,50.9948,18.7362,0.7265,2608.5669,506.6008,2.0568,4.9367,-0.033,2.0499,524.002_525.272_0,Packstone
139.5528,50.8775,18.0379,0.8697,2637.4287,499.7143,2.0389,4.2978,-0.0385,2.0411,524.002_525.272_2,Packstone
139.6036,48.7546,20.0092,0.7272,2680,496,2.0295,4.0922,-0.0417,2.0335,524.002_525.272_4,Packstone
139.6544,49.2087,20.9869,0.6302,2597.3333,538.6667,2.0316,4.8094,-0.04,2.0341,524.002_525.272_6,Packstone
148.4428,42.5304,19.3236,1.1117,2501.6226,462.4653,1.9782,3.9562,-0.0076,1.9481,532.892_534.162_2,Packstone
148.4936,49.9862,20.7474,0.9996,2574.6667,528,1.9828,4.3538,-0.0108,1.9622,532.892_534.162_4,Packstone
148.5444,47.437,20.7535,1.0252,2611.8186,540.2592,1.9876,4.8555,-0.0142,1.981,532.892_534.162_6,Packstone
148.5952,48.2537,21.406,0.9711,2679.1919,482.5438,1.9901,4.3784,-0.0198,1.9899,532.892_534.162_8,Packstone
148.646,50.7023,21.6819,0.9889,2704.1846,495.2029,1.9863,4.1843,-0.0277,1.9737,532.892_534.162_10,Packstone
148.6968,52.724,22.6698,0.9599,2588.301,476.7905,1.9503,4.683,-0.04,1.9682,532.892_534.162_12,Packstone
148.7476,52.8607,23.2623,0.9646,2530.0989,521.3113,1.964,5.0382,-0.0427,1.9618,532.892_534.162_14,Packstone
148.7984,52.5236,22.1883,0.9711,2579.3545,498.5379,1.9695,5.0787,-0.0417,1.961,532.892_534.162_16,Packstone
148.8492,52.1007,22.7426,0.8273,2631.5947,476.6039,1.9523,5.0429,-0.0456,1.9653,532.892_534.162_18,Packstone
148.9,50.8283,22.4047,0.7985,2580.4502,493.3367,1.9719,4.4511,-0.0412,1.9652,532.892_534.162_20,Packstone
148.9508,47.0101,20.9697,0.9933,2552.4834,507.3435,1.9717,4.8269,-0.0434,1.9682,532.892_534.162_22,Packstone
149.0016,44.2318,20.2843,1.0447,2635.1257,521.7687,1.9637,5.0434,-0.0477,1.969,532.892_534.162_24,Packstone
149.0524,40.9168,18.6239,1.1524,2633.2031,523.0448,1.9692,4.7674,-0.0454,1.9618,532.892_534.162_26,Packstone
149.1032,40.2154,19.318,1.1487,2581.313,530.084,1.9549,4.9108,-0.0491,1.9556,532.892_534.162_28,Packstone
149.154,46.4337,20.3284,1.043,2574.4956,528.5023,1.9428,4.6418,-0.053,1.9488,532.892_534.162_30,Packstone
149.2048,45.3584,20.4659,1.0723,2590.407,535.8372,1.9458,4.3734,-0.051,1.9481,532.892_534.162_32,Packstone
149.2556,43.1,19.8944,1.101,2623.3367,542.0389,1.9515,5.1406,-0.0472,1.9567,532.892_534.162_34,Packstone
149.3064,42.3748,19.9823,1.1244,2632.9199,455.3376,1.9683,5.2063,-0.0404,1.968,532.892_534.162_36,Packstone
149.3572,47.7871,20.8127,0.8522,2580,488,1.9827,4.6557,-0.0349,1.9725,532.892_534.162_38,Packstone
149.408,42.5276,20.5606,1.1037,2662.7625,496.989,1.9659,4.7469,-0.0399,1.9697,532.892_534.162_40,Packstone
149.4588,48.9839,21.6343,0.854,2676.0356,488.9013,1.9594,4.9062,-0.0404,1.961,532.892_534.162_42,Packstone
149.5096,54.2156,22.1399,0.7341,2610.6218,495.2859,1.9544,4.799,-0.0389,1.9524,532.892_534.162_44,Packstone
149.5604,61.01,22.8738,0.3773,2613.4011,489.0687,1.9429,5.1843,-0.0375,1.9491,532.892_534.162_46,Packstone
149.6112,60.8278,22.2656,0.8223,2688.6641,514.1059,1.9485,4.5755,-0.0303,1.9452,532.892_534.162_48,Packstone
149.662,61.5544,22.6237,0.806,2702.7776,532.4083,1.9415,4.6792,-0.0241,1.9375,534.162_535.432_0,Packstone
149.7128,61.9247,22.7587,0.8013,2709.6494,536.7675,1.9397,4.5883,-0.0162,1.9243,534.162_535.432_2,Packstone
149.7636,60.0871,22.8229,0.5438,2653.4045,539.3721,1.9563,4.5807,-0.008,1.9248,534.162_535.432_4,Packstone
149.8144,55.7229,21.8346,0.4944,2679.741,540.801,1.9602,4.2474,-0.0041,1.934,534.162_535.432_6,Packstone
149.8652,53.6526,20.813,0.7672,2667.4106,515.2796,1.9734,3.9884,0.0022,1.9581,534.162_535.432_8,Packstone
149.916,51.3281,21.7184,0.6959,2603.1865,477.9842,1.9629,4.5615,0.0032,1.9552,534.162_535.432_10,Packstone
149.9668,47.0728,20.9354,1.037,2516.8762,502.3503,1.9405,4.0965,-0.0016,1.9455,534.162_535.432_12,Packstone
150.0176,49.5284,21.4776,0.9521,2570.2939,526.6683,1.9434,4.6887,-0.0005,1.926,534.162_535.432_14,Packstone
150.0684,48.2863,21.4221,0.9299,2645.1572,494.2812,1.9253,4.6776,-0.0026,1.9225,534.162_535.432_16,Packstone
158.044,57.9815,19.6783,0.9077,2652.3503,482.284,1.9194,4.6112,-0.0281,1.9182,541.782_543.052_30,Packstone
158.0948,52.8466,19.6529,0.9842,2575.2361,512.6145,1.9167,4.267,-0.0314,1.9186,541.782_543.052_32,Packstone
158.1456,47.0921,19.9116,1.0438,2685.4456,532.7014,1.919,4.3019,-0.0338,1.9172,541.782_543.052_34,Packstone
158.1964,49.7212,21.2095,0.9252,2656.5024,506.2812,1.9157,4.5606,-0.0376,1.9136,541.782_543.052_36,Packstone
158.2472,52.5082,22.3116,0.5572,2584.4958,533.735,1.9101,4.6153,-0.039,1.9079,541.782_543.052_38,Packstone
158.298,53.4396,22.9351,0.2016,2653.8484,515.222,1.8969,4.231,-0.042,1.9041,541.782_543.052_40,Packstone
158.3488,54.9336,23.0896,-999.25,2608.2468,523.5975,1.906,4.2284,-0.0375,1.8996,541.782_543.052_42,Packstone
158.3996,59.6703,23.536,-999.25,2701.48,529.3112,1.895,4.2001,-0.0363,1.8998,541.782_543.052_44,Packstone
158.4504,58.7236,23.89,-999.25,2556.8066,520.5457,1.9003,4.028,-0.0286,1.9014,541.782_543.052_46,Packstone
158.5012,57.0593,23.3556,-999.25,2549.656,489.2163,1.9009,3.8247,-0.0184,1.9128,541.782_543.052_48,Packstone
158.552,57.2713,23.681,-999.25,2651.0437,484.2722,1.909,3.8521,-0.0092,1.9152,543.052_544.322_0,Packstone
158.6028,54.1531,22.5853,0.2384,2661.0344,441.361,1.899,4.0143,-0.0025,1.9084,543.052_544.322_2,Packstone
158.6536,53.6029,22.2881,0.4894,2615.3247,495.8373,1.8888,3.7734,0.0048,1.8885,543.052_544.322_4,Packstone
158.7044,54.8011,23.2099,0.4076,2644.2371,521.7251,1.8662,3.9465,0.0097,1.8726,543.052_544.322_6,Packstone
158.7552,56.2501,22.9728,0.6678,2690,572,1.857,3.5763,0.0221,1.8656,543.052_544.322_8,Packstone
158.806,57.267,22.8923,0.7925,2620,528,1.8681,3.5949,0.0443,1.8667,543.052_544.322_10,Packstone
158.8568,62.885,22.7176,0.7954,2628,482,1.8702,3.9203,0.0579,1.8751,543.052_544.322_12,Packstone
158.9076,62.1663,22.5434,0.6709,2584.9385,490.4818,1.8851,3.7583,0.0669,1.8834,543.052_544.322_14,Packstone
158.9584,59.2982,23.9644,0.072,2703.5925,517.0284,1.8951,3.6899,0.0778,1.8919,543.052_544.322_16,Packstone
159.0092,62.5632,23.941,0.4177,2695.3152,517.3657,1.8951,3.9063,0.0826,1.8961,543.052_544.322_18,Packstone
159.06,62.8295,22.5042,0.2669,2686.5339,499.1912,1.898,3.8711,0.0829,1.8953,543.052_544.322_20,Packstone
159.1108,61.6573,22.2454,0.1271,2632.3982,483.8294,1.8934,3.8864,0.0853,1.8924,543.052_544.322_22,Packstone
159.1616,59.5131,22.1682,0.1128,2752.0618,502.1273,1.8859,3.6872,0.0813,1.8833,543.052_544.322_24,Packstone
159.2124,60.8255,21.9913,-999.25,2639.4629,478.8531,1.8706,3.5539,0.0763,1.8751,543.052_544.322_26,Packstone
159.2632,59.5063,22.5259,-999.25,2661.2781,467.1611,1.8622,3.7976,0.0708,1.8697,543.052_544.322_28,Packstone
159.314,58.8399,22.8552,-999.25,2642.2292,518.1801,1.8684,3.9126,0.067,1.8676,543.052_544.322_30,Packstone
159.3648,56.4196,22.0595,-999.25,2680.9775,526.5718,1.8671,3.8305,0.0588,1.868,543.052_544.322_32,Packstone
159.4156,57.7941,22.8614,-999.25,2596.8911,496.297,1.8674,3.8154,0.0538,1.8664,543.052_544.322_34,Packstone
167.6452,46.5417,23.2624,0.3448,2584.4158,524.2437,1.9788,4.0373,0.037,1.9718,551.942_553.212_8,Packstone
167.696,50.9006,23.9894,0.1434,2590,489.8182,1.9692,4.2118,0.0232,1.9753,551.942_553.212_10,Packstone
167.7468,50.8383,23.3004,0.513,2694.6658,480.1193,1.9763,3.9736,0.0176,1.9757,551.942_553.212_12,Packstone
167.7976,52.3058,23.5709,0.4624,2637.4624,518.853,1.983,4.3035,0.0146,1.9764,551.942_553.212_14,Packstone
